Date,Volume_t-3,Volume_t-2,Volume_t-1,Open_t-3,Open_t-2,Open_t-1,High_t-3,High_t-2,High_t-1,Low_t-3,Low_t-2,Low_t-1,target
2017-01-05,30555900.0,28769220.0,21081620.0,116.65,115.8,115.85,117.2,116.33,116.51,115.43,114.76,115.75,115.92
2017-08-30,25184600.0,25649890.0,29451050.0,159.65,160.14,160.1,160.56,162.0,163.12,159.27,159.93,160.0,163.8
2016-05-24,30417880.0,31834020.0,37977020.0,94.64,94.64,95.87,94.64,95.43,97.19,93.57,94.52,95.67,97.22
2017-11-06,33482970.0,39668100.0,59332210.0,169.87,167.64,174.0,169.94,168.5,174.26,165.61,165.28,171.12,172.37
2018-07-18,12506830.0,15009800.0,15515000.0,191.08,191.52,189.75,191.84,192.65,191.87,190.9,190.42,189.2,191.78
2019-10-01,19088310.0,25361290.0,26318580.0,220.0,220.54,220.9,220.94,220.96,224.58,218.83,217.28,220.79,225.07
2018-10-03,22560440.0,23171020.0,24435010.0,224.79,227.95,227.25,225.84,229.42,230.0,224.02,226.35,226.63,230.05
2017-03-06,36362440.0,26170690.0,21555370.0,137.89,140.0,138.78,140.15,140.28,139.83,137.6,138.76,138.59,139.37
2016-05-05,47844490.0,56770080.0,40984160.0,93.97,94.2,95.2,94.08,95.74,95.9,92.4,93.68,93.82,94.0
2019-07-22,14107450.0,18582160.0,20929310.0,204.05,204.0,205.79,205.09,205.88,206.5,203.27,203.7,202.36,203.65
2017-07-03,22052920.0,31450520.0,22986960.0,144.49,144.71,144.45,146.11,145.13,144.96,143.16,142.28,143.78,144.88
2017-07-31,15649120.0,32429770.0,17192770.0,153.35,153.75,149.89,153.93,153.99,150.23,153.06,147.3,149.19,149.9
2018-04-26,36396590.0,33674960.0,28331540.0,166.84,165.67,162.62,166.92,166.33,165.42,164.09,161.22,162.41,164.12
2018-03-20,22676520.0,38313330.0,32931110.0,178.5,178.65,177.32,180.24,179.12,177.47,178.07,177.62,173.66,175.24
2017-01-06,28769220.0,21081620.0,22115100.0,115.8,115.85,115.92,116.33,116.51,116.86,114.76,115.75,115.81,116.78
2016-04-07,37322930.0,26560420.0,26178840.0,110.42,109.51,110.23,112.19,110.73,110.98,110.27,109.42,109.2,109.95
2017-02-17,33054500.0,35578640.0,22539860.0,133.47,135.52,135.67,135.09,136.27,135.9,133.25,134.62,134.84,135.1
2018-05-02,35617230.0,41976500.0,52228910.0,164.0,162.13,166.41,164.33,167.26,169.2,160.63,161.84,165.27,175.23
2018-11-08,66072170.0,31774720.0,33291640.0,204.3,201.92,205.97,204.39,204.72,210.06,198.17,201.69,204.13,209.98
